iter	Passed	Remaining
492	1120	1152
493	1122	1149
494	1124	1146
495	1126	1144
496	1127	1141
497	1130	1139
498	1132	1137
499	1135	1135
500	1137	1133
501	1139	1130
502	1144	1130
503	1145	1127
504	1146	1123
505	1147	1120
506	1147	1116
507	1148	1112
508	1149	1108
509	1150	1105
510	1151	1101
511	1152	1098
512	1154	1095
513	1155	1092
514	1155	1088
515	1157	1085
516	1157	1081
517	1158	1078
518	1159	1074
519	1162	1072
520	1164	1070
521	1166	1068
522	1169	1066
523	1170	1063
524	1171	1059
525	1172	1056
526	1174	1054
527	1177	1052
528	1180	1051
529	1182	1048
530	1184	1046
531	1186	1043
532	1188	1041
533	1191	1040
534	1194	1038
535	1196	1035
536	1198	1033
537	1201	1031
538	1203	1029
539	1206	1027
540	1208	1025
541	1212	1024
542	1213	1021
543	1215	1019
544	1218	1016
545	1219	1014
546	1222	1012
547	1225	1010
548	1228	1008
549	1230	1006
550	1233	1005
551	1235	1002
552	1238	1000
553	1241	999
554	1243	996
555	1245	994
556	1248	992
557	1251	990
558	1253	988
559	1255	986
560	1257	984
561	1259	981
562	1260	978
563	1262	975
564	1263	972
565	1266	970
566	1268	968
567	1270	966
568	1272	963
569	1273	960
570	1275	958
571	1277	956
572	1279	953
573	1282	951
574	1284	949
575	1286	946
576	1290	946
577	1291	942
578	1292	939
579	1293	936
580	1294	933
581	1295	930
582	1297	927
583	1299	925
584	1301	923
585	1304	921
586	1305	918
587	1307	916
588	1309	913
589	1311	911
590	1313	908
591	1315	906
592	1317	903
593	1319	901
594	1321	899
595	1322	896
596	1323	893
597	1324	890
598	1326	887
599	1327	885
600	1329	882
601	1331	880
602	1333	877
603	1335	875
604	1337	873
605	1339	871
606	1342	869
607	1344	866
608	1345	863
609	1348	861
610	1349	859
611	1352	857
612	1355	855
613	1357	853
614	1360	851
615	1362	849
616	1363	846
617	1365	844
618	1368	842
619	1370	840
620	1373	837
621	1375	836
622	1378	834
623	1380	831
624	1381	828
625	1383	826
626	1386	824
627	1388	822
628	1390	820
629	1393	818
630	1394	815
631	1397	813
632	1399	811
633	1400	808
634	1402	805
635	1404	803
636	1406	801
637	1408	799
638	1410	797
639	1413	794
640	1413	791
641	1415	789
642	1416	786
643	1419	784
644	1422	782
645	1424	780
646	1426	778
647	1428	776
648	1430	773
649	1433	771
650	1435	769
651	1438	767
652	1440	765
653	1442	763
654	1445	761
655	1448	759
656	1451	757
657	1453	755
658	1455	753
659	1457	751
660	1460	749
661	1462	746
662	1465	744
663	1467	742
664	1468	739
665	1470	737
666	1472	735
667	1474	732
668	1476	730
669	1479	728
670	1482	726
671	1484	724
672	1487	722
673	1489	720
674	1491	718
675	1494	716
676	1497	714
677	1498	711
678	1500	709
679	1502	707
680	1504	704
681	1507	702
682	1510	700
683	1512	698
684	1514	696
685	1516	694
686	1518	691
687	1520	689
688	1523	687
689	1525	685
690	1526	682
691	1528	680
692	1531	678
693	1533	676
694	1535	673
695	1538	672
696	1541	670
697	1543	667
698	1545	665
699	1548	663
700	1550	661
701	1553	659
702	1555	657
703	1558	655
704	1560	653
705	1563	651
706	1566	649
707	1569	647
708	1571	644
709	1573	642
710	1574	640
711	1576	637
712	1579	635
713	1581	633
714	1584	631
715	1587	629
716	1589	627
717	1591	624
718	1593	622
719	1596	620
720	1599	618
721	1601	616
722	1603	614
723	1605	612
724	1608	610
725	1610	607
726	1613	605
727	1614	603
728	1615	600
729	1618	598
730	1618	595
731	1620	593
732	1623	591
733	1625	589
734	1628	586
735	1631	585
736	1633	582
737	1634	580
738	1636	577
739	1638	575
740	1640	573
741	1643	571
742	1645	569
743	1648	567
744	1649	564
745	1651	562
746	1654	560
747	1656	558
748	1659	555
749	1660	553
750	1662	551
751	1665	549
752	1667	547
753	1670	545
754	1673	542
755	1675	540
756	1678	538
757	1679	536
758	1682	534
759	1684	531
760	1686	529
761	1688	527
762	1691	525
763	1693	523
764	1694	520
765	1696	518
766	1699	516
767	1701	514
768	1704	511
769	1706	509
770	1709	507
771	1711	505
772	1713	503
773	1716	501
774	1717	498
775	1720	496
776	1723	494
777	1723	491
778	1726	489
779	1729	487
780	1732	485
781	1734	483
782	1737	481
783	1739	479
784	1741	476
785	1743	474
786	1746	472
787	1748	470
788	1751	468
789	1753	466
790	1755	463
791	1758	461
792	1759	459
793	1762	457
794	1764	454
795	1766	452
796	1768	450
797	1770	448
798	1773	446
799	1775	443
800	1778	441
801	1781	439
802	1784	437
803	1785	435
804	1788	433
805	1791	431
806	1794	429
807	1796	426
808	1798	424
809	1800	422
810	1803	420
811	1806	418
812	1808	416
813	1811	413
814	1813	411
815	1814	409
816	1817	407
817	1819	404
818	1822	402
819	1825	400
820	1827	398
821	1829	396
822	1831	393
823	1834	391
824	1836	389
825	1839	387
826	1842	385
827	1844	383
828	1845	380
829	1848	378
830	1850	376
831	1852	373
832	1855	371
833	1857	369
834	1858	367
835	1860	364
836	1862	362
837	1865	360
838	1866	358
839	1870	356
840	1872	354
841	1873	351
842	1874	349
843	1877	347
844	1881	345
845	1883	342
846	1886	340
847	1888	338
848	1891	336
849	1894	334
850	1898	332
851	1900	330
852	1901	327
853	1904	325
854	1906	323
855	1908	321
856	1911	318
857	1913	316
858	1915	314
859	1917	312
860	1919	309
861	1922	307
862	1924	305
863	1927	303
864	1930	301
865	1931	298
866	1933	296
867	1935	294
868	1938	292
869	1941	290
870	1943	287
871	1946	285
872	1948	283
873	1951	281
874	1953	279
875	1956	276
876	1958	274
877	1960	272
878	1962	270
879	1964	267
880	1967	265
881	1969	263
882	1971	261
883	1974	259
884	1976	256
885	1979	254
886	1981	252
887	1984	250
888	1987	248
889	1989	245
890	1991	243
891	1994	241
892	1997	239
893	1999	237
894	2001	234
895	2003	232
896	2005	230
897	2008	228
898	2011	225
899	2014	223
900	2016	221
901	2018	219
902	2020	217
903	2022	214
904	2025	212
905	2028	210
906	2030	208
907	2033	206
908	2035	203
909	2036	201
910	2038	199
911	2041	196
912	2043	194
913	2045	192
914	2048	190
915	2050	188
916	2052	185
917	2055	183
918	2058	181
919	2060	179
920	2061	176
921	2064	174
922	2066	172
923	2069	170
924	2072	168
925	2075	165
926	2078	163
927	2080	161
928	2081	159
929	2084	156
930	2087	154
931	2089	152
932	2091	150
933	2094	148
934	2095	145
935	2096	143
936	2097	141
937	2099	138
938	2102	136
939	2104	134
940	2107	132
941	2109	129
942	2111	127
943	2113	125
944	2115	123
945	2117	120
946	2119	118
947	2122	116
948	2124	114
949	2126	111
950	2129	109
951	2131	107
952	2134	105
953	2137	103
954	2140	100
955	2141	98
956	2143	96
957	2145	94
958	2148	91
959	2150	89
960	2153	87
961	2155	85
962	2157	82
963	2159	80
964	2162	78
965	2164	76
966	2167	73
967	2169	71
968	2171	69
969	2174	67
970	2177	65
971	2180	62
972	2183	60
973	2185	58
974	2187	56
975	2189	53
976	2191	51
977	2194	49
978	2196	47
979	2199	44
980	2201	42
981	2203	40
982	2206	38
983	2208	35
984	2210	33
985	2213	31
986	2215	29
987	2217	26
988	2219	24
989	2221	22
990	2223	20
991	2226	17
992	2229	15
993	2231	13
994	2234	11
995	2237	8
996	2240	6
997	2242	4
998	2244	2
999	2246	0
